Year,Week,Resort,VisitorDays,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Highest Lifted Point,Lowest Lifted Point,Skiable Area,Snow Making Area,Lifts
2015,6,Mt. Baw Baw,8269,85291,0.29,-3.67,1.94,1562m,1407m,30ha,10ha,7
2015,7,Mt. Baw Baw,8219,85291,0.97,-1.71,3.43,1562m,1407m,30ha,10ha,7
2015,8,Mt. Baw Baw,8600,85291,-0.03,-3.44,4.14,1562m,1407m,30ha,10ha,7
2015,9,Mt. Baw Baw,8932,85291,0.87,-3.19,3.54,1562m,1407m,30ha,10ha,7
2015,10,Mt. Baw Baw,10429,85291,1.31,-1.87,2.86,1562m,1407m,30ha,10ha,7
2015,11,Mt. Baw Baw,10927,85291,4.16,-0.64,0.34,1562m,1407m,30ha,10ha,7
2015,12,Mt. Baw Baw,9027,85291,1.37,-2.7,4.63,1562m,1407m,30ha,10ha,7
2015,13,Mt. Baw Baw,6236,85291,3.7,-1.56,1.17,1562m,1407m,30ha,10ha,7
2015,14,Mt. Baw Baw,4387,85291,7.07,-1.04,3.66,1562m,1407m,30ha,10ha,7
2015,15,Mt. Baw Baw,2247,85291,5.2,0.16,1.31,1562m,1407m,30ha,10ha,7
2016,1,Mt. Baw Baw,1154,85291,5.27,-0.33,4,1562m,1407m,30ha,10ha,7
2016,2,Mt. Baw Baw,1298,85291,4.47,2,0.74,1562m,1407m,30ha,10ha,7
2016,3,Mt. Baw Baw,2306,85291,-0.27,-3.13,1.91,1562m,1407m,30ha,10ha,7
2016,4,Mt. Baw Baw,8796,85291,1.56,-1.24,2.49,1562m,1407m,30ha,10ha,7
2016,5,Mt. Baw Baw,7976,85291,1.89,-0.57,3.37,1562m,1407m,30ha,10ha,7
2016,6,Mt. Baw Baw,6614,85291,4.9,-0.49,1.54,1562m,1407m,30ha,10ha,7
2016,7,Mt. Baw Baw,5267,85291,1.43,-2.41,1.89,1562m,1407m,30ha,10ha,7
2016,8,Mt. Baw Baw,6394,85291,1.83,-1.21,2.06,1562m,1407m,30ha,10ha,7
2016,9,Mt. Baw Baw,6676,85291,1.97,-1.99,1.31,1562m,1407m,30ha,10ha,7
2016,10,Mt. Baw Baw,5593,85291,4,-0.69,1.26,1562m,1407m,30ha,10ha,7
2016,11,Mt. Baw Baw,3979,85291,2.83,-1.13,2.17,1562m,1407m,30ha,10ha,7
2016,12,Mt. Baw Baw,3909,85291,3.2,-0.91,1.29,1562m,1407m,30ha,10ha,7
2016,13,Mt. Baw Baw,1373,85291,7.74,1.37,2.83,1562m,1407m,30ha,10ha,7
2016,14,Mt. Baw Baw,0,85291,5.59,2.11,2.11,1562m,1407m,30ha,10ha,7
2016,15,Mt. Baw Baw,0,85291,4.56,-0.81,1.86,1562m,1407m,30ha,10ha,7
2017,1,Mt. Baw Baw,3569,85291,6.81,0.39,0.77,1562m,1407m,30ha,10ha,7
2017,2,Mt. Baw Baw,798,85291,5.83,0.24,0.6,1562m,1407m,30ha,10ha,7
2017,3,Mt. Baw Baw,846,85291,0.14,-2.47,2.03,1562m,1407m,30ha,10ha,7
2017,4,Mt. Baw Baw,3486,85291,1.8,-2.57,3.86,1562m,1407m,30ha,10ha,7
2017,5,Mt. Baw Baw,5981,85291,0.81,-2.66,1.09,1562m,1407m,30ha,10ha,7
2017,6,Mt. Baw Baw,9132,85291,1.03,-2.17,2,1562m,1407m,30ha,10ha,7
2017,7,Mt. Baw Baw,7286,85291,2.19,-2.26,4.77,1562m,1407m,30ha,10ha,7
2017,8,Mt. Baw Baw,5799,85291,3.7,-1.61,2.54,1562m,1407m,30ha,10ha,7
2017,9,Mt. Baw Baw,5331,85291,1.87,-1.53,3.97,1562m,1407m,30ha,10ha,7
2017,10,Mt. Baw Baw,6311,85291,3.46,-0.06,2.4,1562m,1407m,30ha,10ha,7
2017,11,Mt. Baw Baw,5884,85291,0.17,-3.54,4.26,1562m,1407m,30ha,10ha,7
2017,12,Mt. Baw Baw,4921,85291,0.36,-4.26,4.34,1562m,1407m,30ha,10ha,7
2017,13,Mt. Baw Baw,4086,85291,2.44,-1.84,3.29,1562m,1407m,30ha,10ha,7
2017,14,Mt. Baw Baw,5565,85291,3.1,-1.24,0.77,1562m,1407m,30ha,10ha,7
2017,15,Mt. Baw Baw,3409,85291,4.83,-2.99,3.26,1562m,1407m,30ha,10ha,7
2018,1,Mt. Baw Baw,2753,85291,2.61,-0.19,3.26,1562m,1407m,30ha,10ha,7
2018,2,Mt. Baw Baw,2102,85291,1.85,-2.14,2.83,1562m,1407m,30ha,10ha,7
2018,3,Mt. Baw Baw,5768,85291,2.86,-1.07,0.54,1562m,1407m,30ha,10ha,7
2018,4,Mt. Baw Baw,7058,85291,3.63,-0.16,2.03,1562m,1407m,30ha,10ha,7
2018,5,Mt. Baw Baw,11141,85291,1.03,-2.47,2.63,1562m,1407m,30ha,10ha,7
2018,6,Mt. Baw Baw,18031,85291,2.15,-2.7,1.63,1562m,1407m,30ha,10ha,7
2018,7,Mt. Baw Baw,8803,85291,1.29,-2.54,2.73,1562m,1407m,30ha,10ha,7
2018,8,Mt. Baw Baw,7966,85291,2.87,-1.41,3.54,1562m,1407m,30ha,10ha,7
2018,9,Mt. Baw Baw,8950,85291,1.81,-2.59,3.49,1562m,1407m,30ha,10ha,7
2018,10,Mt. Baw Baw,7621,85291,1.64,-2.18,3.04,1562m,1407m,30ha,10ha,7
2018,11,Mt. Baw Baw,6837,85291,0.39,-3.46,4.39,1562m,1407m,30ha,10ha,7
2018,12,Mt. Baw Baw,10011,85291,3.01,-2.87,1.91,1562m,1407m,30ha,10ha,7
2018,13,Mt. Baw Baw,6751,85291,3.1,-1.29,2.6,1562m,1407m,30ha,10ha,7
2018,14,Mt. Baw Baw,5793,85291,7.89,0.19,0.37,1562m,1407m,30ha,10ha,7
2018,15,Mt. Baw Baw,4064,85291,3.43,-2.06,2.69,1562m,1407m,30ha,10ha,7
2019,1,Mt. Baw Baw,6393,85291,6.57,1.35,2.39,1562m,1407m,30ha,10ha,7
2019,2,Mt. Baw Baw,4311,85291,1.34,-1.91,4.17,1562m,1407m,30ha,10ha,7
2019,3,Mt. Baw Baw,5341,85291,6.04,0.51,0.03,1562m,1407m,30ha,10ha,7
2019,4,Mt. Baw Baw,6645,85291,3.79,-0.81,2.06,1562m,1407m,30ha,10ha,7
2019,5,Mt. Baw Baw,10595,85291,1.98,-1.09,3.29,1562m,1407m,30ha,10ha,7
2019,6,Mt. Baw Baw,9056,85291,1.94,-2.16,3.49,1562m,1407m,30ha,10ha,7
2019,7,Mt. Baw Baw,9515,85291,3.17,-1.14,2.07,1562m,1407m,30ha,10ha,7
2019,8,Mt. Baw Baw,10134,85291,3.69,-1.73,1.69,1562m,1407m,30ha,10ha,7
2019,9,Mt. Baw Baw,10039,85291,0.73,-2.61,1.17,1562m,1407m,30ha,10ha,7
2019,10,Mt. Baw Baw,4004,85291,1.77,-2.64,3.23,1562m,1407m,30ha,10ha,7
2019,11,Mt. Baw Baw,12128,85291,3.79,-2.61,5.51,1562m,1407m,30ha,10ha,7
2019,12,Mt. Baw Baw,10255,85291,3.4,-2.64,0.91,1562m,1407m,30ha,10ha,7
2019,13,Mt. Baw Baw,8502,85291,5.6,0.5,1.31,1562m,1407m,30ha,10ha,7
2019,14,Mt. Baw Baw,6878,85291,5.47,-1.76,0.46,1562m,1407m,30ha,10ha,7
2019,15,Mt. Baw Baw,6089,85291,7.31,-1.96,1.51,1562m,1407m,30ha,10ha,7
2020,1,Mt. Baw Baw,1074,85291,5.36,0.14,0.43,1562m,1407m,30ha,10ha,7
2020,2,Mt. Baw Baw,544,85291,3.61,0.21,2.89,1562m,1407m,30ha,10ha,7
2020,3,Mt. Baw Baw,603,85291,3.27,-1.43,1.34,1562m,1407m,30ha,10ha,7
2020,4,Mt. Baw Baw,2168,85291,2.42,-1.37,3.17,1562m,1407m,30ha,10ha,7
2020,5,Mt. Baw Baw,4055,85291,3.93,-0.07,1.34,1562m,1407m,30ha,10ha,7
2020,6,Mt. Baw Baw,2945,85291,3.69,-0.88,0.77,1562m,1407m,30ha,10ha,7
2020,7,Mt. Baw Baw,1149,85291,3.51,-1.03,3.4,1562m,1407m,30ha,10ha,7
2020,8,Mt. Baw Baw,941,85291,6.08,-0.29,1.31,1562m,1407m,30ha,10ha,7
2020,9,Mt. Baw Baw,834,85291,1.37,-3.8,4.34,1562m,1407m,30ha,10ha,7
2020,10,Mt. Baw Baw,0,85291,4.71,0.53,1.4,1562m,1407m,30ha,10ha,7
2020,11,Mt. Baw Baw,0,85291,-0.37,-2.84,6.94,1562m,1407m,30ha,10ha,7
2020,12,Mt. Baw Baw,0,85291,3.49,-1.57,2.14,1562m,1407m,30ha,10ha,7
2020,13,Mt. Baw Baw,0,85291,9.24,0.03,0.86,1562m,1407m,30ha,10ha,7
2020,14,Mt. Baw Baw,0,85291,8.04,0.96,0.76,1562m,1407m,30ha,10ha,7
2020,15,Mt. Baw Baw,0,85291,8.83,1.64,0.16,1562m,1407m,30ha,10ha,7
2021,1,Mt. Baw Baw,334,85291,4.56,-0.6,1.77,1562m,1407m,30ha,10ha,7
2021,2,Mt. Baw Baw,941,85291,2.86,-0.47,0.89,1562m,1407m,30ha,10ha,7
2021,3,Mt. Baw Baw,2614,85291,4.26,-0.04,4.11,1562m,1407m,30ha,10ha,7
2021,4,Mt. Baw Baw,8833,85291,1.66,-1.43,3.09,1562m,1407m,30ha,10ha,7
2021,5,Mt. Baw Baw,11910,85291,3.41,-1.3,0.2,1562m,1407m,30ha,10ha,7
2021,6,Mt. Baw Baw,2430,85291,1.01,-1.64,3.66,1562m,1407m,30ha,10ha,7
2021,7,Mt. Baw Baw,3,85291,0.86,-3.19,2.57,1562m,1407m,30ha,10ha,7
2021,8,Mt. Baw Baw,3274,85291,1.96,-1.79,1.97,1562m,1407m,30ha,10ha,7
2021,9,Mt. Baw Baw,1757,85291,2.63,-1.07,2.57,1562m,1407m,30ha,10ha,7
2021,10,Mt. Baw Baw,2392,85291,3.37,-0.73,2.03,1562m,1407m,30ha,10ha,7
2021,11,Mt. Baw Baw,1948,85291,4.63,0.07,0.91,1562m,1407m,30ha,10ha,7
2021,12,Mt. Baw Baw,0,85291,2.69,-1.63,1.63,1562m,1407m,30ha,10ha,7
2021,13,Mt. Baw Baw,0,85291,7.03,-0.51,0.26,1562m,1407m,30ha,10ha,7
2021,14,Mt. Baw Baw,176,85291,6.43,-1.33,1.89,1562m,1407m,30ha,10ha,7
2021,15,Mt. Baw Baw,475,85291,4.11,-1.69,0.97,1562m,1407m,30ha,10ha,7
2022,1,Mt. Baw Baw,8513,85291,1.14,-1.71,0.29,1562m,1407m,30ha,10ha,7
2022,2,Mt. Baw Baw,6516,85291,3.37,0.3,1.91,1562m,1407m,30ha,10ha,7
2022,3,Mt. Baw Baw,5609,85291,2.7,-1.06,1.77,1562m,1407m,30ha,10ha,7
2022,4,Mt. Baw Baw,10614,85291,4.66,-1.63,0,1562m,1407m,30ha,10ha,7
2022,5,Mt. Baw Baw,11092,85291,0.57,-1.34,2.63,1562m,1407m,30ha,10ha,7
2022,6,Mt. Baw Baw,9082,85291,0.76,-3.57,6.14,1562m,1407m,30ha,10ha,7
2022,7,Mt. Baw Baw,8570,85291,4.96,-0.2,1.77,1562m,1407m,30ha,10ha,7
2022,8,Mt. Baw Baw,7825,85291,2.14,-2.56,2.51,1562m,1407m,30ha,10ha,7
2022,9,Mt. Baw Baw,7810,85291,2.41,-1.07,4.23,1562m,1407m,30ha,10ha,7
2022,10,Mt. Baw Baw,6587,85291,3.4,-0.74,0.91,1562m,1407m,30ha,10ha,7
2022,11,Mt. Baw Baw,7939,85291,1.63,-2.61,1.31,1562m,1407m,30ha,10ha,7
2022,12,Mt. Baw Baw,6782,85291,6.64,0.19,3.43,1562m,1407m,30ha,10ha,7
2022,13,Mt. Baw Baw,4750,85291,4.53,-2.23,1.43,1562m,1407m,30ha,10ha,7
2022,14,Mt. Baw Baw,3009,85291,2.56,-0.76,1.74,1562m,1407m,30ha,10ha,7
2022,15,Mt. Baw Baw,2262,85291,5.47,0,1.86,1562m,1407m,30ha,10ha,7
2023,1,Mt. Baw Baw,1218,85291,2.47,-1.13,2.2,1562m,1407m,30ha,10ha,7
2023,2,Mt. Baw Baw,2458,85291,1.16,-2.29,3.97,1562m,1407m,30ha,10ha,7
2023,3,Mt. Baw Baw,7129,85291,0.63,-1.64,3.06,1562m,1407m,30ha,10ha,7
2023,4,Mt. Baw Baw,17116,85291,3.73,-0.16,3.8,1562m,1407m,30ha,10ha,7
2023,5,Mt. Baw Baw,14690,85291,3.1,-0.63,3.2,1562m,1407m,30ha,10ha,7
2023,6,Mt. Baw Baw,9419,85291,4.56,-0.77,1.71,1562m,1407m,30ha,10ha,7
2023,7,Mt. Baw Baw,10343,85291,5.01,-0.13,2.8,1562m,1407m,30ha,10ha,7
2023,8,Mt. Baw Baw,10041,85291,5.8,1.06,1.43,1562m,1407m,30ha,10ha,7
2023,9,Mt. Baw Baw,7015,85291,5.26,0.14,1.69,1562m,1407m,30ha,10ha,7
2023,10,Mt. Baw Baw,7481,85291,1.91,-1.93,2.83,1562m,1407m,30ha,10ha,7
2023,11,Mt. Baw Baw,4999,85291,5.44,-0.57,0.94,1562m,1407m,30ha,10ha,7
2023,12,Mt. Baw Baw,3680,85291,7.04,2.09,0.94,1562m,1407m,30ha,10ha,7
2023,13,Mt. Baw Baw,1265,85291,8.66,-0.21,0.37,1562m,1407m,30ha,10ha,7
2023,14,Mt. Baw Baw,0,85291,2.74,-0.96,1.94,1562m,1407m,30ha,10ha,7
2023,15,Mt. Baw Baw,0,85291,5.36,0.84,0.17,1562m,1407m,30ha,10ha,7
2024,1,Mt. Baw Baw,1558,85291,1.81,-1.5,2.23,1562m,1407m,30ha,10ha,7
2024,2,Mt. Baw Baw,1546,85291,1.77,-2.76,2.46,1562m,1407m,30ha,10ha,7
2024,3,Mt. Baw Baw,1695,85291,3.06,-1,1.43,1562m,1407m,30ha,10ha,7
2024,4,Mt. Baw Baw,4457,85291,3.16,-2,1.83,1562m,1407m,30ha,10ha,7
2024,5,Mt. Baw Baw,11079,85291,4.06,0.76,2,1562m,1407m,30ha,10ha,7
2024,6,Mt. Baw Baw,9830,85291,0.44,-2.69,3.03,1562m,1407m,30ha,10ha,7
2024,7,Mt. Baw Baw,9456,85291,3.31,-0.51,1.51,1562m,1407m,30ha,10ha,7
2024,8,Mt. Baw Baw,8513,85291,4.26,-2.06,1.4,1562m,1407m,30ha,10ha,7
2024,9,Mt. Baw Baw,9635,85291,3.94,-0.56,0.14,1562m,1407m,30ha,10ha,7
2024,10,Mt. Baw Baw,8121,85291,8.89,3.19,0.63,1562m,1407m,30ha,10ha,7
2024,11,Mt. Baw Baw,5977,85291,6.16,1.49,3.74,1562m,1407m,30ha,10ha,7
2024,12,Mt. Baw Baw,3597,85291,5.43,0.93,3.37,1562m,1407m,30ha,10ha,7
2024,13,Mt. Baw Baw,1500,85291,7.14,-0.1,4.34,1562m,1407m,30ha,10ha,7
2024,14,Mt. Baw Baw,0,85291,5.63,0.09,0.37,1562m,1407m,30ha,10ha,7
2024,15,Mt. Baw Baw,0,85291,2.09,-2.03,3.66,1562m,1407m,30ha,10ha,7
2014,1,Mt. Hotham,3483,83085,3.46,-1.14,2.34,1945m,1450m,320ha,25ha,13
2014,2,Mt. Hotham,1253,83085,3,-1.26,1.86,1945m,1450m,320ha,25ha,13
2014,3,Mt. Hotham,2992,83085,-0.9,-3.29,0.74,1945m,1450m,320ha,25ha,13
2014,4,Mt. Hotham,9680,83085,-0.99,-3.47,0.09,1945m,1450m,320ha,25ha,13
2014,5,Mt. Hotham,29628,83085,-1.84,-4,0.46,1945m,1450m,320ha,25ha,13
2014,6,Mt. Hotham,36665,83085,-1.96,-4.44,0.09,1945m,1450m,320ha,25ha,13
2014,7,Mt. Hotham,26465,83085,0.13,-3.24,1.63,1945m,1450m,320ha,25ha,13
2014,8,Mt. Hotham,21679,83085,-0.94,-3.96,1.14,1945m,1450m,320ha,25ha,13
2014,9,Mt. Hotham,31019,83085,0.7,-3.76,0.43,1945m,1450m,320ha,25ha,13
2014,10,Mt. Hotham,30360,83085,1.66,-5.49,0.69,1945m,1450m,320ha,25ha,13
2014,11,Mt. Hotham,35923,83085,2.7,-1.27,0.66,1945m,1450m,320ha,25ha,13
2014,12,Mt. Hotham,32657,83085,5.49,-0.46,1.34,1945m,1450m,320ha,25ha,13
2014,13,Mt. Hotham,28855,83085,1.46,-3.47,0.89,1945m,1450m,320ha,25ha,13
2014,14,Mt. Hotham,18708,83085,4.19,-0.96,3.11,1945m,1450m,320ha,25ha,13
2014,15,Mt. Hotham,11117,83085,3.54,-2.74,1.86,1945m,1450m,320ha,25ha,13
2015,1,Mt. Hotham,4997,83085,6.72,0.09,0.11,1945m,1450m,320ha,25ha,13
2015,2,Mt. Hotham,1797,83085,6.06,1.52,3.26,1945m,1450m,320ha,25ha,13
2015,3,Mt. Hotham,3605,83085,3.57,0.05,2.31,1945m,1450m,320ha,25ha,13
2015,4,Mt. Hotham,13197,83085,1.08,-1.43,0.77,1945m,1450m,320ha,25ha,13
2015,5,Mt. Hotham,22318,83085,-0.56,-3.45,0,1945m,1450m,320ha,25ha,13
2015,6,Mt. Hotham,27894,83085,-2.73,-5.87,0,1945m,1450m,320ha,25ha,13
2015,7,Mt. Hotham,22620,83085,-0.73,-3.26,1.83,1945m,1450m,320ha,25ha,13
2015,8,Mt. Hotham,17562,83085,-1.3,-4.16,0,1945m,1450m,320ha,25ha,13
2015,9,Mt. Hotham,27850,83085,-2.1,-5.74,0.11,1945m,1450m,320ha,25ha,13
2015,10,Mt. Hotham,31159,83085,-1.09,-2.99,1.23,1945m,1450m,320ha,25ha,13
2015,11,Mt. Hotham,35122,83085,1.39,-3.86,3.2,1945m,1450m,320ha,25ha,13
2015,12,Mt. Hotham,30754,83085,1.63,-3.69,2.77,1945m,1450m,320ha,25ha,13
2015,13,Mt. Hotham,25367,83085,4.32,-1.91,0.66,1945m,1450m,320ha,25ha,13
2015,14,Mt. Hotham,30754,83085,3.22,-1.23,1.4,1945m,1450m,320ha,25ha,13
2015,15,Mt. Hotham,12005,83085,2,-0.64,1.66,1945m,1450m,320ha,25ha,13
2016,1,Mt. Hotham,4590,83085,4.21,-1.27,0.31,1945m,1450m,320ha,25ha,13
2016,2,Mt. Hotham,1860,83085,2.17,-0.43,2.91,1945m,1450m,320ha,25ha,13
2016,3,Mt. Hotham,8368,83085,-2.13,-5.69,0.14,1945m,1450m,320ha,25ha,13
2016,4,Mt. Hotham,17433,83085,-0.67,-3.03,0.03,1945m,1450m,320ha,25ha,13
2016,5,Mt. Hotham,21302,83085,-0.27,-2.16,0.63,1945m,1450m,320ha,25ha,13
2016,6,Mt. Hotham,25173,83085,2.3,-2.6,1.83,1945m,1450m,320ha,25ha,13
2016,7,Mt. Hotham,20774,83085,-0.21,-3.51,0.17,1945m,1450m,320ha,25ha,13
2016,8,Mt. Hotham,19557,83085,-0.3,-1.62,0.49,1945m,1450m,320ha,25ha,13
2016,9,Mt. Hotham,27232,83085,1.08,-0.39,0.09,1945m,1450m,320ha,25ha,13
2016,10,Mt. Hotham,28044,83085,2.3,-0.27,0.49,1945m,1450m,320ha,25ha,13
2016,11,Mt. Hotham,31774,83085,0.29,-2.93,3.34,1945m,1450m,320ha,25ha,13
2016,12,Mt. Hotham,28211,83085,0.7,-4.03,1.86,1945m,1450m,320ha,25ha,13
2016,13,Mt. Hotham,20295,83085,5.71,-0.49,3.69,1945m,1450m,320ha,25ha,13
2016,14,Mt. Hotham,14224,83085,4.03,0.81,3.57,1945m,1450m,320ha,25ha,13
2016,15,Mt. Hotham,10134,83085,1.7,-2.79,3.67,1945m,1450m,320ha,25ha,13
2017,1,Mt. Hotham,6288,83085,6.39,-0.49,0.26,1945m,1450m,320ha,25ha,13
2017,2,Mt. Hotham,2644,83085,5.61,0.34,0,1945m,1450m,320ha,25ha,13
2017,3,Mt. Hotham,5756,83085,-1.1,-3.93,2.46,1945m,1450m,320ha,25ha,13
2017,4,Mt. Hotham,17281,83085,0.89,-3.56,0.46,1945m,1450m,320ha,25ha,13
2017,5,Mt. Hotham,29573,83085,-1.6,-4.94,0.4,1945m,1450m,320ha,25ha,13
2017,6,Mt. Hotham,33467,83085,-1.61,-4.73,0.4,1945m,1450m,320ha,25ha,13
2017,7,Mt. Hotham,23812,83085,-1.17,-4.9,0.4,1945m,1450m,320ha,25ha,13
2017,8,Mt. Hotham,25596,83085,0.59,-3.94,0.4,1945m,1450m,320ha,25ha,13
2017,9,Mt. Hotham,29214,83085,-1.42,-3.83,0.4,1945m,1450m,320ha,25ha,13
2017,10,Mt. Hotham,33652,83085,0.45,-1.63,0.4,1945m,1450m,320ha,25ha,13
2017,11,Mt. Hotham,35159,83085,-2.11,-5.84,0.4,1945m,1450m,320ha,25ha,13
2017,12,Mt. Hotham,32732,83085,-1.1,-5.61,0.4,1945m,1450m,320ha,25ha,13
2017,13,Mt. Hotham,26326,83085,0.73,-4.39,0.4,1945m,1450m,320ha,25ha,13
2017,14,Mt. Hotham,21960,83085,1.49,-3.44,0.4,1945m,1450m,320ha,25ha,13
2017,15,Mt. Hotham,14990,83085,3.17,-3.27,0.4,1945m,1450m,320ha,25ha,13
2018,1,Mt. Hotham,6271,83085,1.03,-1.97,0.51,1945m,1450m,320ha,25ha,13
2018,2,Mt. Hotham,3489,83085,-1.46,-4.89,0.14,1945m,1450m,320ha,25ha,13
2018,3,Mt. Hotham,6911,83085,-0.51,-4.54,2,1945m,1450m,320ha,25ha,13
2018,4,Mt. Hotham,17524,83085,1,-3.07,1.89,1945m,1450m,320ha,25ha,13
2018,5,Mt. Hotham,31435,83085,0.14,-4.6,0.97,1945m,1450m,320ha,25ha,13
2018,6,Mt. Hotham,37737,83085,-0.73,-5.4,0.14,1945m,1450m,320ha,25ha,13
2018,7,Mt. Hotham,25157,83085,-1.26,-4.86,0.43,1945m,1450m,320ha,25ha,13
2018,8,Mt. Hotham,24150,83085,0.59,-3.71,2.23,1945m,1450m,320ha,25ha,13
2018,9,Mt. Hotham,30515,83085,-1.03,-4.61,1.46,1945m,1450m,320ha,25ha,13
2018,10,Mt. Hotham,33527,83085,-1.04,-4.19,3.29,1945m,1450m,320ha,25ha,13
2018,11,Mt. Hotham,38115,83085,-2.01,-4.8,0.06,1945m,1450m,320ha,25ha,13
2018,12,Mt. Hotham,35284,83085,-1.99,-5.39,3.46,1945m,1450m,320ha,25ha,13
2018,13,Mt. Hotham,28187,83085,0.71,-4.11,2.57,1945m,1450m,320ha,25ha,13
2018,14,Mt. Hotham,21947,83085,5.54,-0.97,0.29,1945m,1450m,320ha,25ha,13
2018,15,Mt. Hotham,15320,83085,1.6,-4.16,0.57,1945m,1450m,320ha,25ha,13
2019,1,Mt. Hotham,5948,83085,3.08,-3.77,0.13,1945m,1450m,320ha,25ha,13
2019,2,Mt. Hotham,3019,83085,-1.91,-5.12,0.09,1945m,1450m,320ha,25ha,13
2019,3,Mt. Hotham,5820,83085,4.17,-1.83,0.06,1945m,1450m,320ha,25ha,13
2019,4,Mt. Hotham,13150,83085,1.01,-2.84,0.09,1945m,1450m,320ha,25ha,13
2019,5,Mt. Hotham,26572,83085,-0.16,-2.73,0.09,1945m,1450m,320ha,25ha,13
2019,6,Mt. Hotham,36382,83085,-0.51,-4.56,0.11,1945m,1450m,320ha,25ha,13
2019,7,Mt. Hotham,23978,83085,0.83,-3.49,0.17,1945m,1450m,320ha,25ha,13
2019,8,Mt. Hotham,24998,83085,2.95,-2.36,0.09,1945m,1450m,320ha,25ha,13
2019,9,Mt. Hotham,31360,83085,-0.6,-4.43,0,1945m,1450m,320ha,25ha,13
2019,10,Mt. Hotham,29531,83085,-1.19,-4.7,0,1945m,1450m,320ha,25ha,13
2019,11,Mt. Hotham,39955,83085,1.06,-4.49,0,1945m,1450m,320ha,25ha,13
2019,12,Mt. Hotham,37905,83085,2.19,-5.29,0,1945m,1450m,320ha,25ha,13
2019,13,Mt. Hotham,33186,83085,3.54,-1.14,0,1945m,1450m,320ha,25ha,13
2019,14,Mt. Hotham,27192,83085,3.07,-3.47,0,1945m,1450m,320ha,25ha,13
2019,15,Mt. Hotham,20169,83085,5.31,-1.13,0,1945m,1450m,320ha,25ha,13
2020,1,Mt. Hotham,2016,83085,6.35,3.01,0.11,1945m,1450m,320ha,25ha,13
2020,2,Mt. Hotham,1346,83085,5.04,3.59,1.46,1945m,1450m,320ha,25ha,13
2020,3,Mt. Hotham,1416,83085,3.72,1.93,1.43,1945m,1450m,320ha,25ha,13
2020,4,Mt. Hotham,4172,83085,2.41,0.26,2.26,1945m,1450m,320ha,25ha,13
2020,5,Mt. Hotham,9325,83085,0.8,-1.01,2.8,1945m,1450m,320ha,25ha,13
2020,6,Mt. Hotham,15316,83085,0.87,-3.31,0.74,1945m,1450m,320ha,25ha,13
2020,7,Mt. Hotham,8953,83085,3.73,-1.84,0.34,1945m,1450m,320ha,25ha,13
2020,8,Mt. Hotham,4401,83085,4.06,-1.57,0.26,1945m,1450m,320ha,25ha,13
2020,9,Mt. Hotham,3476,83085,-0.61,-5.14,1.46,1945m,1450m,320ha,25ha,13
2020,10,Mt. Hotham,1043,83085,2.14,-1.1,2.43,1945m,1450m,320ha,25ha,13
