Year,Week,Resort,VisitorDays,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
2019.0,11.0,Mt. Baw Baw,12128.0,85291,3.79,-2.61,5.51
2019.0,12.0,Mt. Baw Baw,10255.0,85291,3.4,-2.64,0.91
2019.0,13.0,Mt. Baw Baw,8502.0,85291,5.6,0.5,1.31
2019.0,14.0,Mt. Baw Baw,6878.0,85291,5.47,-1.76,0.46
2019.0,15.0,Mt. Baw Baw,6089.0,85291,7.31,-1.99,1.51
2020.0,1.0,Mt. Baw Baw,1074.0,85291,5.36,0.14,0.43
2020.0,2.0,Mt. Baw Baw,544.0,85291,3.61,0.21,2.89
2020.0,3.0,Mt. Baw Baw,603.0,85291,3.27,-1.43,1.34
2020.0,4.0,Mt. Baw Baw,2168.0,85291,2.42,-1.37,3.17
2020.0,5.0,Mt. Baw Baw,4055.0,85291,3.93,-0.07,1.34
2020.0,6.0,Mt. Baw Baw,2945.0,85291,3.69,-0.88,0.77
2020.0,7.0,Mt. Baw Baw,1149.0,85291,3.51,-1.03,3.4
2020.0,8.0,Mt. Baw Baw,941.0,85291,6.08,-0.29,1.31
2020.0,9.0,Mt. Baw Baw,834.0,85291,1.37,-3.8,4.34
2020.0,10.0,Mt. Baw Baw,0.0,85291,4.71,0.53,1.4
2020.0,11.0,Mt. Baw Baw,0.0,85291,-0.37,-2.84,6.94
2020.0,12.0,Mt. Baw Baw,0.0,85291,3.49,-1.57,2.14
2020.0,13.0,Mt. Baw Baw,0.0,85291,8.3,-0.63,2.0
2020.0,14.0,Mt. Baw Baw,0.0,85291,8.04,0.94,0.76
2020.0,15.0,Mt. Baw Baw,0.0,85291,8.83,1.01,0.16
2021.0,1.0,Mt. Baw Baw,334.0,85291,4.56,-0.6,1.77
2021.0,2.0,Mt. Baw Baw,941.0,85291,2.86,-0.47,0.89
2021.0,3.0,Mt. Baw Baw,2614.0,85291,4.26,-0.04,4.11
2021.0,4.0,Mt. Baw Baw,8833.0,85291,1.66,-1.43,3.09
2021.0,5.0,Mt. Baw Baw,11910.0,85291,3.41,-1.3,0.2
2021.0,6.0,Mt. Baw Baw,2430.0,85291,1.01,-1.64,3.66
2021.0,7.0,Mt. Baw Baw,3.0,85291,0.86,-3.19,2.57
2021.0,8.0,Mt. Baw Baw,3274.0,85291,1.96,-1.79,1.97
2021.0,9.0,Mt. Baw Baw,1757.0,85291,2.63,-1.07,2.57
2021.0,10.0,Mt. Baw Baw,2392.0,85291,3.37,-0.73,2.03
2021.0,11.0,Mt. Baw Baw,1948.0,85291,4.63,0.07,0.91
2021.0,12.0,Mt. Baw Baw,0.0,85291,2.69,-1.63,1.63
2021.0,13.0,Mt. Baw Baw,0.0,85291,7.03,-0.54,0.26
2021.0,14.0,Mt. Baw Baw,176.0,85291,6.43,-1.33,1.89
2021.0,15.0,Mt. Baw Baw,475.0,85291,4.11,-1.69,0.97
2022.0,1.0,Mt. Baw Baw,8513.0,85291,1.14,-1.71,0.29
2022.0,2.0,Mt. Baw Baw,6516.0,85291,3.37,0.3,1.91
2022.0,3.0,Mt. Baw Baw,5609.0,85291,2.7,-1.06,1.77
2022.0,4.0,Mt. Baw Baw,10614.0,85291,4.66,-1.63,0.0
2022.0,5.0,Mt. Baw Baw,11092.0,85291,0.57,-1.34,2.63
2022.0,6.0,Mt. Baw Baw,9082.0,85291,0.76,-3.57,6.14
2022.0,7.0,Mt. Baw Baw,8570.0,85291,4.96,-0.2,1.77
2022.0,8.0,Mt. Baw Baw,7825.0,85291,2.14,-2.56,2.51
2022.0,9.0,Mt. Baw Baw,7810.0,85291,2.41,-1.07,4.23
2022.0,10.0,Mt. Baw Baw,6587.0,85291,3.4,-0.74,0.91
2022.0,11.0,Mt. Baw Baw,7939.0,85291,1.63,-2.61,1.31
2022.0,12.0,Mt. Baw Baw,6782.0,85291,6.64,0.19,3.43
2022.0,13.0,Mt. Baw Baw,4750.0,85291,4.53,-2.23,1.43
2022.0,14.0,Mt. Baw Baw,3009.0,85291,2.56,-0.76,1.74
2022.0,15.0,Mt. Baw Baw,2262.0,85291,5.47,0.0,1.86
2023.0,1.0,Mt. Baw Baw,1218.0,85291,2.47,-1.13,2.2
2023.0,2.0,Mt. Baw Baw,2458.0,85291,1.16,-2.29,3.97
2023.0,3.0,Mt. Baw Baw,7129.0,85291,0.63,-1.64,3.06
2023.0,4.0,Mt. Baw Baw,17116.0,85291,3.73,-0.16,3.8
2023.0,5.0,Mt. Baw Baw,14690.0,85291,3.1,-0.63,3.2
2023.0,6.0,Mt. Baw Baw,9419.0,85291,4.56,-0.77,1.71
2023.0,7.0,Mt. Baw Baw,10343.0,85291,5.01,-0.13,2.8
2023.0,8.0,Mt. Baw Baw,10041.0,85291,5.8,1.06,1.43
2023.0,9.0,Mt. Baw Baw,7015.0,85291,5.26,0.14,1.69
2023.0,10.0,Mt. Baw Baw,7481.0,85291,1.91,-1.93,2.83
2023.0,11.0,Mt. Baw Baw,4999.0,85291,5.44,-0.57,0.94
2023.0,12.0,Mt. Baw Baw,3680.0,85291,7.04,2.09,0.94
2023.0,13.0,Mt. Baw Baw,1265.0,85291,8.66,-0.21,0.37
2023.0,14.0,Mt. Baw Baw,0.0,85291,2.74,-0.97,1.94
2023.0,15.0,Mt. Baw Baw,0.0,85291,5.36,0.8,0.17
2024.0,1.0,Mt. Baw Baw,1558.0,85291,1.81,-1.5,2.23
2024.0,2.0,Mt. Baw Baw,1546.0,85291,1.77,-2.76,2.46
2024.0,3.0,Mt. Baw Baw,1695.0,85291,3.06,-1.0,1.43
2024.0,4.0,Mt. Baw Baw,4457.0,85291,3.16,-2.0,1.83
2024.0,5.0,Mt. Baw Baw,11079.0,85291,4.06,0.76,2.0
2024.0,6.0,Mt. Baw Baw,9830.0,85291,0.44,-2.69,3.03
2024.0,7.0,Mt. Baw Baw,9456.0,85291,3.31,-0.51,1.51
2024.0,8.0,Mt. Baw Baw,8513.0,85291,4.26,-2.06,1.4
2024.0,9.0,Mt. Baw Baw,9635.0,85291,3.94,-0.56,0.14
2024.0,10.0,Mt. Baw Baw,8121.0,85291,8.89,3.19,0.63
2024.0,11.0,Mt. Baw Baw,5977.0,85291,6.16,1.49,3.74
2024.0,12.0,Mt. Baw Baw,3597.0,85291,5.43,0.93,3.37
2024.0,13.0,Mt. Baw Baw,1500.0,85291,7.14,-0.1,4.34
2024.0,14.0,Mt. Baw Baw,0.0,85291,5.63,0.09,0.37
2024.0,15.0,Mt. Baw Baw,0.0,85291,2.09,-2.03,3.66
2014.0,1.0,Mt. Stirling,60.0,83024,4.27,-0.01,2.71
2014.0,2.0,Mt. Stirling,42.0,83024,5.26,-0.34,1.09
2014.0,3.0,Mt. Stirling,30.0,83024,0.39,-2.51,1.43
2014.0,4.0,Mt. Stirling,165.0,83024,0.96,-1.86,3.71
2014.0,5.0,Mt. Stirling,645.0,83024,-0.29,-3.4,5.23
2014.0,6.0,Mt. Stirling,1316.0,83024,-1.0,-3.59,3.31
2014.0,7.0,Mt. Stirling,684.0,83024,2.37,-1.51,1.49
2014.0,8.0,Mt. Stirling,1250.0,83024,0.44,-2.99,3.66
2014.0,9.0,Mt. Stirling,1280.0,83024,1.16,-3.51,0.94
2014.0,10.0,Mt. Stirling,1653.0,83024,3.71,-3.87,0.71
2014.0,11.0,Mt. Stirling,902.0,83024,4.31,-0.33,0.06
2014.0,12.0,Mt. Stirling,847.0,83024,7.09,1.17,0.09
2014.0,13.0,Mt. Stirling,522.0,83024,4.41,-1.7,1.0
2014.0,14.0,Mt. Stirling,267.0,83024,5.27,0.27,2.2
2014.0,15.0,Mt. Stirling,66.0,83024,4.84,-1.51,2.97
2015.0,1.0,Mt. Stirling,39.0,83024,6.5,0.19,0.14
2015.0,2.0,Mt. Stirling,63.0,83024,2.8,-1.93,1.14
2015.0,3.0,Mt. Stirling,51.0,83024,6.41,-0.56,0.09
2015.0,4.0,Mt. Stirling,27.0,83024,-0.09,-3.89,1.69
2015.0,5.0,Mt. Stirling,69.0,83024,0.63,-3.01,6.54
2015.0,6.0,Mt. Stirling,240.0,83024,-1.14,-5.2,3.69
2015.0,7.0,Mt. Stirling,714.0,83024,0.23,-2.47,2.03
2015.0,8.0,Mt. Stirling,558.0,83024,-0.01,-4.33,3.26
2015.0,9.0,Mt. Stirling,1218.0,83024,-0.63,-4.63,3.66
2015.0,10.0,Mt. Stirling,1371.0,83024,0.26,-2.23,4.39
2015.0,11.0,Mt. Stirling,1146.0,83024,3.14,-1.86,0.4
2015.0,12.0,Mt. Stirling,744.0,83024,2.13,-2.83,0.86
2015.0,13.0,Mt. Stirling,618.0,83024,3.49,-1.31,1.93
2015.0,14.0,Mt. Stirling,429.0,83024,7.19,0.26,2.0
2015.0,15.0,Mt. Stirling,249.0,83024,6.51,-0.29,1.77
2016.0,1.0,Mt. Stirling,39.0,83024,5.4,-0.86,0.86
2016.0,2.0,Mt. Stirling,36.0,83024,3.41,0.3,3.14
2016.0,3.0,Mt. Stirling,186.0,83024,-1.07,-4.24,0.94
2016.0,4.0,Mt. Stirling,480.0,83024,0.0,-2.01,5.69
2016.0,5.0,Mt. Stirling,711.0,83024,0.66,-1.11,2.49
2016.0,6.0,Mt. Stirling,840.0,83024,5.2,-1.19,0.91
2016.0,7.0,Mt. Stirling,694.0,83024,0.93,-2.84,2.51
2016.0,8.0,Mt. Stirling,1326.0,83024,0.33,-2.23,4.77
2016.0,9.0,Mt. Stirling,1122.0,83024,1.56,-2.93,0.09
2016.0,10.0,Mt. Stirling,1149.0,83024,2.47,-1.86,2.14
2016.0,11.0,Mt. Stirling,708.0,83024,1.73,-1.89,0.71
2016.0,12.0,Mt. Stirling,735.0,83024,1.89,-2.67,0.34
2016.0,13.0,Mt. Stirling,198.0,83024,6.51,-0.14,2.26
2016.0,14.0,Mt. Stirling,102.0,83024,4.64,1.11,2.14
2016.0,15.0,Mt. Stirling,87.0,83024,3.0,-2.07,3.17
2017.0,1.0,Mt. Stirling,96.0,83024,7.01,0.43,0.0
2017.0,2.0,Mt. Stirling,33.0,83024,6.34,0.7,0.0
2017.0,3.0,Mt. Stirling,72.0,83024,-0.53,-3.24,1.49
2017.0,4.0,Mt. Stirling,132.0,83024,1.23,-2.99,2.23
2017.0,5.0,Mt. Stirling,162.0,83024,-0.47,-3.11,4.2
2017.0,6.0,Mt. Stirling,387.0,83024,-0.81,-3.9,4.26
2017.0,7.0,Mt. Stirling,962.0,83024,0.76,-3.14,3.83
2017.0,8.0,Mt. Stirling,702.0,83024,2.53,-2.04,2.4
2017.0,9.0,Mt. Stirling,1176.0,83024,0.54,-2.49,3.89
2017.0,10.0,Mt. Stirling,1317.0,83024,2.14,-0.6,3.34
2017.0,11.0,Mt. Stirling,1452.0,83024,-0.97,-4.63,2.09
2017.0,12.0,Mt. Stirling,936.0,83024,0.64,-5.6,1.34
2017.0,13.0,Mt. Stirling,897.0,83024,1.36,-3.01,2.94
2017.0,14.0,Mt. Stirling,1023.0,83024,2.13,-2.63,3.89
2017.0,15.0,Mt. Stirling,408.0,83024,4.83,-2.81,0.89
2018.0,1.0,Mt. Stirling,192.0,83024,2.06,-1.17,0.89
2018.0,2.0,Mt. Stirling,180.0,83024,-0.13,-3.44,3.83
2018.0,3.0,Mt. Stirling,339.0,83024,2.29,-2.49,0.31
2018.0,4.0,Mt. Stirling,474.0,83024,2.04,-1.9,2.09
2018.0,5.0,Mt. Stirling,810.0,83024,0.84,-3.83,1.66
2018.0,6.0,Mt. Stirling,1086.0,83024,0.26,-4.1,2.97
2018.0,7.0,Mt. Stirling,1269.0,83024,-0.01,-3.5,3.06
2018.0,8.0,Mt. Stirling,1128.0,83024,1.21,-2.66,3.31
2018.0,9.0,Mt. Stirling,1719.0,83024,0.7,-3.44,5.14
2018.0,10.0,Mt. Stirling,1860.0,83024,-0.16,-3.14,2.43
2018.0,11.0,Mt. Stirling,1452.0,83024,-1.19,-4.63,4.54
2018.0,12.0,Mt. Stirling,1374.0,83024,1.77,-4.84,0.49
2018.0,13.0,Mt. Stirling,913.0,83024,2.47,-2.7,3.83
2018.0,14.0,Mt. Stirling,498.0,83024,6.21,-0.26,1.06
2018.0,15.0,Mt. Stirling,258.0,83024,1.81,-3.44,2.6
2019.0,1.0,Mt. Stirling,237.0,83024,4.03,0.57,1.46
2019.0,2.0,Mt. Stirling,81.0,83024,0.44,-3.69,3.06
2019.0,3.0,Mt. Stirling,126.0,83024,4.74,-0.73,1.97
2019.0,4.0,Mt. Stirling,63.0,83024,2.74,-1.66,1.11
2019.0,5.0,Mt. Stirling,123.0,83024,0.71,-1.83,3.6
2019.0,6.0,Mt. Stirling,318.0,83024,0.84,-3.47,2.8
2019.0,7.0,Mt. Stirling,675.0,83024,2.09,-2.29,2.4
2019.0,8.0,Mt. Stirling,858.0,83024,4.27,-1.23,1.34
2019.0,9.0,Mt. Stirling,924.0,83024,0.14,-3.59,2.6
2019.0,10.0,Mt. Stirling,909.0,83024,0.87,-4.1,3.29
2019.0,11.0,Mt. Stirling,1455.0,83024,3.0,-3.71,1.17
2019.0,12.0,Mt. Stirling,1542.0,83024,2.86,-4.06,2.4
2019.0,13.0,Mt. Stirling,1083.0,83024,4.7,-0.3,3.97
2019.0,14.0,Mt. Stirling,522.0,83024,4.2,-2.61,2.51
2019.0,15.0,Mt. Stirling,363.0,83024,6.06,-0.66,0.51
2020.0,1.0,Mt. Stirling,126.0,83024,4.4,-0.56,0.11
2020.0,2.0,Mt. Stirling,27.0,83024,2.41,-0.14,3.94
2020.0,3.0,Mt. Stirling,24.0,83024,2.26,-2.29,1.2
2020.0,4.0,Mt. Stirling,93.0,83024,1.26,-2.31,2.66
2020.0,5.0,Mt. Stirling,171.0,83024,2.27,-0.7,2.46
2020.0,6.0,Mt. Stirling,438.0,83024,3.83,-2.19,0.71
2020.0,7.0,Mt. Stirling,108.0,83024,5.0,0.07,0.54
2020.0,8.0,Mt. Stirling,127.0,83024,5.81,-0.53,0.14
2020.0,9.0,Mt. Stirling,98.0,83024,0.8,-4.34,2.46
2020.0,10.0,Mt. Stirling,9.0,83024,3.23,-0.17,2.63
2020.0,11.0,Mt. Stirling,0.0,83024,-1.06,-3.69,4.46
2020.0,12.0,Mt. Stirling,0.0,83024,2.5,-3.29,3.57
2020.0,13.0,Mt. Stirling,0.0,83024,4.97,-1.1,0.71
2020.0,14.0,Mt. Stirling,0.0,83024,8.94,1.7,1.46
2020.0,15.0,Mt. Stirling,0.0,83024,9.67,1.11,0.54
2021.0,1.0,Mt. Stirling,216.0,83024,2.79,-1.5,1.63
2021.0,2.0,Mt. Stirling,69.0,83024,2.63,-1.8,2.09
2021.0,3.0,Mt. Stirling,99.0,83024,2.8,-1.04,2.54
2021.0,4.0,Mt. Stirling,315.0,83024,0.53,-2.63,3.11
2021.0,5.0,Mt. Stirling,697.0,83024,2.13,-2.24,1.57
2021.0,6.0,Mt. Stirling,103.0,83024,0.39,-2.7,1.23
2021.0,7.0,Mt. Stirling,0.0,83024,-0.36,-3.97,0.14
2021.0,8.0,Mt. Stirling,468.0,83024,0.4,-2.9,1.0
2021.0,9.0,Mt. Stirling,774.0,83024,1.27,-2.26,1.06
2021.0,10.0,Mt. Stirling,834.0,83024,1.86,-1.59,2.6
2021.0,11.0,Mt. Stirling,0.0,83024,2.76,-1.04,2.63
2021.0,12.0,Mt. Stirling,0.0,83024,1.4,-2.77,2.37
2021.0,13.0,Mt. Stirling,15.0,83024,6.06,-1.07,0.0
2021.0,14.0,Mt. Stirling,33.0,83024,6.47,-0.54,0.0
2021.0,15.0,Mt. Stirling,618.0,83024,3.61,-1.93,0.0
2022.0,1.0,Mt. Stirling,1038.0,83024,0.03,-3.2,1.29
2022.0,2.0,Mt. Stirling,711.0,83024,2.34,-1.06,2.57
2022.0,3.0,Mt. Stirling,426.0,83024,2.21,-1.97,2.83
2022.0,4.0,Mt. Stirling,984.0,83024,6.24,-0.24,0.0
2022.0,5.0,Mt. Stirling,1071.0,83024,0.14,-2.87,2.11
2022.0,6.0,Mt. Stirling,660.0,83024,0.07,-5.23,3.03
2022.0,7.0,Mt. Stirling,1158.0,83024,2.9,-0.5,3.71
2022.0,8.0,Mt. Stirling,1032.0,83024,1.01,-2.99,1.46
2022.0,9.0,Mt. Stirling,819.0,83024,1.14,-1.73,5.09
2022.0,10.0,Mt. Stirling,1314.0,83024,2.37,-1.87,2.29
2022.0,11.0,Mt. Stirling,1577.0,83024,0.43,-3.24,3.63
2022.0,12.0,Mt. Stirling,975.0,83024,5.69,-0.4,1.77
2022.0,13.0,Mt. Stirling,609.0,83024,3.13,-1.81,1.6
2022.0,14.0,Mt. Stirling,357.0,83024,1.97,-1.73,4.71
2022.0,15.0,Mt. Stirling,85.0,83024,2.9,-1.39,3.29
2023.0,1.0,Mt. Stirling,54.0,83024,1.19,-1.51,1.26
2023.0,2.0,Mt. Stirling,82.0,83024,-0.34,-3.2,0.43
2023.0,3.0,Mt. Stirling,422.0,83024,-0.2,-2.59,1.37
2023.0,4.0,Mt. Stirling,710.0,83024,2.97,-0.9,1.89
2023.0,5.0,Mt. Stirling,678.0,83024,1.59,-1.44,0.26
2023.0,6.0,Mt. Stirling,844.0,83024,3.83,-1.57,0.29
2023.0,7.0,Mt. Stirling,589.0,83024,3.84,-1.63,1.94
2023.0,8.0,Mt. Stirling,673.0,83024,3.87,0.26,4.23
2023.0,9.0,Mt. Stirling,1387.0,83024,4.86,-0.23,0.34
2023.0,10.0,Mt. Stirling,1495.0,83024,2.1,-2.9,3.57
2023.0,11.0,Mt. Stirling,2050.0,83024,4.7,-0.94,2.66
2023.0,12.0,Mt. Stirling,906.0,83024,6.57,0.81,1.44
2023.0,13.0,Mt. Stirling,1069.0,83024,7.24,-0.79,3.74
2023.0,14.0,Mt. Stirling,0.0,83024,4.29,-1.74,0.11
2023.0,15.0,Mt. Stirling,0.0,83024,4.0,0.44,0.57
2024.0,1.0,Mt. Stirling,0.0,83024,3.66,-2.4,3.23
2024.0,2.0,Mt. Stirling,12.0,83024,2.33,-3.34,0.37
2024.0,3.0,Mt. Stirling,106.0,83024,1.5,-1.97,1.51
2024.0,4.0,Mt. Stirling,122.0,83024,2.76,-2.74,2.6
2024.0,5.0,Mt. Stirling,426.0,83024,2.23,-1.11,3.31
2024.0,6.0,Mt. Stirling,122.0,83024,-0.4,-3.89,0.77
2024.0,7.0,Mt. Stirling,1403.0,83024,1.49,-2.06,3.09
2024.0,8.0,Mt. Stirling,1596.0,83024,1.83,-3.79,2.49
2024.0,9.0,Mt. Stirling,2097.0,83024,2.03,-1.7,1.17
2024.0,10.0,Mt. Stirling,1632.0,83024,6.13,2.27,1.74
2024.0,11.0,Mt. Stirling,1416.0,83024,4.89,0.83,4.2
2024.0,12.0,Mt. Stirling,701.0,83024,4.26,0.16,3.29
2024.0,13.0,Mt. Stirling,213.0,83024,6.1,-0.67,3.77
2024.0,14.0,Mt. Stirling,0.0,83024,5.73,-0.57,1.63
2024.0,15.0,Mt. Stirling,0.0,83024,2.07,-3.19,2.23
2014.0,1.0,Mt. Hotham,3483.0,83085,3.46,-1.14,2.34
2014.0,2.0,Mt. Hotham,1253.0,83085,3.0,-1.26,1.86
2014.0,3.0,Mt. Hotham,2992.0,83085,-0.9,-3.29,0.74
2014.0,4.0,Mt. Hotham,9680.0,83085,-0.99,-3.47,0.09
2014.0,5.0,Mt. Hotham,29628.0,83085,-1.84,-4.0,0.46
2014.0,6.0,Mt. Hotham,36665.0,83085,-1.96,-4.44,0.09
2014.0,7.0,Mt. Hotham,26465.0,83085,0.13,-3.24,1.63
2014.0,8.0,Mt. Hotham,21679.0,83085,-0.94,-3.96,1.14
2014.0,9.0,Mt. Hotham,31019.0,83085,0.7,-3.76,0.43
2014.0,10.0,Mt. Hotham,30360.0,83085,1.66,-5.49,0.69
2014.0,11.0,Mt. Hotham,35923.0,83085,2.7,-1.27,0.66
2014.0,12.0,Mt. Hotham,32657.0,83085,5.49,-0.46,1.34
2014.0,13.0,Mt. Hotham,28855.0,83085,1.46,-3.47,0.89
2014.0,14.0,Mt. Hotham,18708.0,83085,4.19,-0.96,3.11
2014.0,15.0,Mt. Hotham,11117.0,83085,3.54,-2.74,1.86
2015.0,1.0,Mt. Hotham,4997.0,83085,5.0,-3.37,0.27
2015.0,5.0,Mt. Hotham,22318.0,83085,-0.68,-4.18,0.0
2015.0,6.0,Mt. Hotham,27894.0,83085,-2.73,-5.87,0.0
2015.0,7.0,Mt. Hotham,22620.0,83085,-0.73,-3.26,1.83
2015.0,8.0,Mt. Hotham,17562.0,83085,-1.3,-4.16,0.0
2015.0,9.0,Mt. Hotham,27850.0,83085,-2.1,-5.74,0.11
